Team1,Team 1 ID,Team2,Team 2 ID,Team1_Win_Percentage,Team2_Win_Percentage
Akron,1,Alabama,2,0,100
Akron,1,Arizona,3,0,100
Akron,1,Auburn,4,0,100
Akron,1,Baylor,5,0,100
Akron,1,Boise State,6,0,100
Akron,1,Brigham Young,7,0,100
Akron,1,Clemson,8,0.01,99.99
Akron,1,Colgate,9,100,0
Akron,1,College of Charleston,10,0,100
Akron,1,Colorado,11,0,100
Akron,1,Colorado State,12,61.68,38.32
Akron,1,Connecticut,13,0,100
Akron,1,Creighton,14,0,100
Akron,1,Dayton,15,0.08,99.92
Akron,1,Drake,16,98.99,1.0100000000000051
Akron,1,Duke,17,0,100
Akron,1,Duquesne,18,96.88,3.1200000000000045
Akron,1,Florida,19,0,100
Akron,1,Florida Atlantic,20,0,100
Akron,1,Gonzaga,21,0,100
Akron,1,Grambling,22,99.91,0.09
Akron,1,Grand Canyon,23,0,100
Akron,1,Houston,24,34.21,65.78999999999999
Akron,1,Howard,25,0,100
Akron,1,Illinois,26,0,100
Akron,1,Iowa State,27,100,0
Akron,1,James Madison,28,0.32,99.68
Akron,1,Kansas,29,98.53,1.4699999999999989
Akron,1,Kentucky,30,0,100
Akron,1,Long Beach State,31,0.26,99.74
Akron,1,Longwood,32,0,100
Akron,1,Marquette,33,65.49000000000001,34.50999999999999
Akron,1,McNeese State,34,0,100
Akron,1,Michigan State,35,78.05,21.950000000000003
Akron,1,Mississippi State,36,0,100
Akron,1,Montana State,37,100,0
Akron,1,Morehead State,38,0,100
Akron,1,NC State,39,42.83,57.17
Akron,1,Nebraska,40,22.439999999999998,77.56
Akron,1,Nevada,41,48.620000000000005,51.379999999999995
Akron,1,New Mexico,42,12.21,87.78999999999999
Akron,1,North Carolina,43,0,100
Akron,1,Northwestern,44,43.72,56.28
Akron,1,Oakland,45,0.06,99.94
Akron,1,Oregon,46,0.6799999999999999,99.32
Akron,1,Purdue,47,0,100
Akron,1,Saint Mary's (CA),48,0,100
Akron,1,Saint Peter's,49,100,0
Akron,1,Samford,50,0,100
Akron,1,San Diego State,51,4.84,95.16
Akron,1,South Carolina,52,0,100
Akron,1,South Dakota State,53,78.13,21.870000000000005
Akron,1,Stetson,54,0,100
Akron,1,TCU,55,0,100
Akron,1,Tennessee,56,34.4,65.6
Akron,1,Texas,57,0.8099999999999999,99.19
Akron,1,Texas A&M,58,0,100
Akron,1,Texas Tech,59,0,100
Akron,1,UAB,60,0,100
Akron,1,Utah State,61,0,100
Akron,1,Vermont,62,100,0
Akron,1,Virginia,63,100,0
Akron,1,Wagner,64,100,0
Akron,1,Washington State,65,0.04,99.96
Akron,1,Western Kentucky,66,100,0
Akron,1,Wisconsin,67,0,100
Akron,1,Yale,68,48.870000000000005,51.129999999999995
Alabama,2,Arizona,3,100,0
Alabama,2,Auburn,4,100,0
Alabama,2,Baylor,5,99.48,0.52
Alabama,2,Boise State,6,100,0
Alabama,2,Brigham Young,7,100,0
Alabama,2,Clemson,8,100,0
Alabama,2,Colgate,9,100,0
Alabama,2,College of Charleston,10,100,0
Alabama,2,Colorado,11,100,0
Alabama,2,Colorado State,12,100,0
Alabama,2,Connecticut,13,100,0
Alabama,2,Creighton,14,100,0
Alabama,2,Dayton,15,100,0
Alabama,2,Drake,16,100,0
Alabama,2,Duke,17,100,0
Alabama,2,Duquesne,18,100,0
Alabama,2,Florida,19,100,0
Alabama,2,Florida Atlantic,20,100,0
Alabama,2,Gonzaga,21,100,0
Alabama,2,Grambling,22,100,0
Alabama,2,Grand Canyon,23,100,0
Alabama,2,Houston,24,100,0
Alabama,2,Howard,25,100,0
Alabama,2,Illinois,26,100,0
Alabama,2,Iowa State,27,100,0
Alabama,2,James Madison,28,100,0
Alabama,2,Kansas,29,100,0
Alabama,2,Kentucky,30,100,0
Alabama,2,Long Beach State,31,100,0
Alabama,2,Longwood,32,100,0
Alabama,2,Marquette,33,100,0
Alabama,2,McNeese State,34,100,0
Alabama,2,Michigan State,35,100,0
Alabama,2,Mississippi State,36,100,0
Alabama,2,Montana State,37,100,0
Alabama,2,Morehead State,38,100,0
Alabama,2,NC State,39,100,0
Alabama,2,Nebraska,40,100,0
Alabama,2,Nevada,41,100,0
Alabama,2,New Mexico,42,100,0
Alabama,2,North Carolina,43,100,0
Alabama,2,Northwestern,44,100,0
Alabama,2,Oakland,45,100,0
Alabama,2,Oregon,46,100,0
Alabama,2,Purdue,47,99.98,0.02
Alabama,2,Saint Mary's (CA),48,100,0
Alabama,2,Saint Peter's,49,100,0
Alabama,2,Samford,50,100,0
Alabama,2,San Diego State,51,100,0
Alabama,2,South Carolina,52,100,0
Alabama,2,South Dakota State,53,100,0
Alabama,2,Stetson,54,100,0
Alabama,2,TCU,55,100,0
Alabama,2,Tennessee,56,100,0
Alabama,2,Texas,57,100,0
Alabama,2,Texas A&M,58,100,0
Alabama,2,Texas Tech,59,100,0
Alabama,2,UAB,60,100,0
Alabama,2,Utah State,61,100,0
Alabama,2,Vermont,62,100,0
Alabama,2,Virginia,63,100,0
Alabama,2,Wagner,64,100,0
Alabama,2,Washington State,65,100,0
Alabama,2,Western Kentucky,66,100,0
Alabama,2,Wisconsin,67,100,0
Alabama,2,Yale,68,100,0
Arizona,3,Auburn,4,99.91,0.09
Arizona,3,Baylor,5,0,100
Arizona,3,Boise State,6,99.22,0.7800000000000011
Arizona,3,Brigham Young,7,76.03999999999999,23.960000000000008
Arizona,3,Clemson,8,100,0
Arizona,3,Colgate,9,100,0
Arizona,3,College of Charleston,10,97.00999999999999,2.990000000000009
Arizona,3,Colorado,11,24.13,75.87
Arizona,3,Colorado State,12,100,0
Arizona,3,Connecticut,13,0,100
Arizona,3,Creighton,14,100,0
Arizona,3,Dayton,15,100,0
Arizona,3,Drake,16,100,0
Arizona,3,Duke,17,98.56,1.4399999999999977
Arizona,3,Duquesne,18,100,0
Arizona,3,Florida,19,0,100
Arizona,3,Florida Atlantic,20,4.21,95.79
Arizona,3,Gonzaga,21,0.13,99.87
Arizona,3,Grambling,22,100,0
Arizona,3,Grand Canyon,23,100,0
Arizona,3,Houston,24,100,0
Arizona,3,Howard,25,33.97,66.03
Arizona,3,Illinois,26,0,100
Arizona,3,Iowa State,27,100,0
Arizona,3,James Madison,28,100,0
Arizona,3,Kansas,29,100,0
Arizona,3,Kentucky,30,7.829999999999999,92.17
Arizona,3,Long Beach State,31,100,0
Arizona,3,Longwood,32,96.55,3.450000000000003
Arizona,3,Marquette,33,100,0
Arizona,3,McNeese State,34,100,0
Arizona,3,Michigan State,35,100,0
Arizona,3,Mississippi State,36,100,0
Arizona,3,Montana State,37,100,0
Arizona,3,Morehead State,38,95.75,4.25
Arizona,3,NC State,39,100,0
Arizona,3,Nebraska,40,100,0
Arizona,3,Nevada,41,100,0
Arizona,3,New Mexico,42,100,0
Arizona,3,North Carolina,43,100,0
Arizona,3,Northwestern,44,100,0
Arizona,3,Oakland,45,100,0
Arizona,3,Oregon,46,100,0
Arizona,3,Purdue,47,0,100
Arizona,3,Saint Mary's (CA),48,97.99,2.010000000000005
Arizona,3,Saint Peter's,49,100,0
Arizona,3,Samford,50,98.7,1.2999999999999972
Arizona,3,San Diego State,51,100,0
Arizona,3,South Carolina,52,100,0
Arizona,3,South Dakota State,53,100,0
Arizona,3,Stetson,54,18.86,81.14
Arizona,3,TCU,55,94.39,5.609999999999999
Arizona,3,Tennessee,56,100,0
Arizona,3,Texas,57,100,0
Arizona,3,Texas A&M,58,0,100
Arizona,3,Texas Tech,59,99.92999999999999,0.07
Arizona,3,UAB,60,0.73,99.27
Arizona,3,Utah State,61,100,0
Arizona,3,Vermont,62,100,0
Arizona,3,Virginia,63,100,0
Arizona,3,Wagner,64,100,0
Arizona,3,Washington State,65,100,0
Arizona,3,Western Kentucky,66,100,0
Arizona,3,Wisconsin,67,99.61,0.39000000000000057
Arizona,3,Yale,68,100,0
Auburn,4,Baylor,5,0,100
Auburn,4,Boise State,6,23.82,76.18
Auburn,4,Brigham Young,7,0.79,99.21
Auburn,4,Clemson,8,99,1
Auburn,4,Colgate,9,100,0
Auburn,4,College of Charleston,10,10.6,89.4
Auburn,4,Colorado,11,0,100
Auburn,4,Colorado State,12,100,0
Auburn,4,Connecticut,13,0,100
Auburn,4,Creighton,14,96.72,3.280000000000001
Auburn,4,Dayton,15,99.59,0.4099999999999966
Auburn,4,Drake,16,100,0
Auburn,4,Duke,17,16.73,83.27
Auburn,4,Duquesne,18,100,0
Auburn,4,Florida,19,0,100
Auburn,4,Florida Atlantic,20,0,100
Auburn,4,Gonzaga,21,0,100
Auburn,4,Grambling,22,100,0
Auburn,4,Grand Canyon,23,98.79,1.2099999999999937
Auburn,4,Houston,24,100,0
Auburn,4,Howard,25,0.04,99.96
Auburn,4,Illinois,26,0,100
Auburn,4,Iowa State,27,100,0
